Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Reading_Time,Accuracy
mancies,N,7,"['Ġman', 'cies']",1,0.71,678.29,0.95
mancing,N,7,"['Ġman', 'cing']",1,0.71,689.28,0.95
mandines,N,8,"['Ġmand', 'ines']",1,0.75,700.94,0.88
manding,N,7,"['Ġmand', 'ing']",1,0.71,632.72,1.0
mandis,N,6,"['Ġmand', 'is']",1,0.67,592.64,0.98
mandone,N,7,"['Ġmand', 'one']",1,0.71,718.38,0.95
mandrile,N,8,"['Ġmand', 'ri', 'le']",2,0.62,687.23,0.87
mandrops,N,8,"['Ġmand', 'rop', 's']",2,0.62,683.39,0.97
maneage,N,7,"['Ġman', 'e', 'age']",2,0.57,747.69,0.9
manees,N,6,"['Ġman', 'ees']",1,0.67,679.43,0.97
manfees,N,7,"['Ġman', 'f', 'ees']",2,0.57,645.49,0.98
manfo,N,5,"['Ġman', 'f', 'o']",2,0.4,600.86,0.92
manged,N,6,"['Ġman', 'ged']",1,0.67,925.87,0.75
mangeless,N,9,"['Ġman', 'g', 'eless']",2,0.67,684.59,0.89
mangings,N,8,"['Ġman', 'g', 'ings']",2,0.62,741.68,0.89
mangly,N,6,"['Ġman', 'g', 'ly']",2,0.5,842.42,0.74
mangrer,N,7,"['Ġman', 'g', 're', 'r']",3,0.43,719.1,1.0
mangyrs,N,7,"['Ġman', 'gy', 'rs']",2,0.57,585.08,0.95
manhets,N,7,"['Ġman', 'he', 'ts']",2,0.57,584.31,0.98
manhick,N,7,"['Ġman', 'h', 'ick']",2,0.57,606.08,1.0
manhit,N,6,"['Ġman', 'h', 'it']",2,0.5,643.71,1.0
maniard,N,7,"['Ġman', 'i', 'ard']",2,0.57,687.85,0.89
maning,N,6,"['Ġman', 'ing']",1,0.67,734.04,0.71
manings,N,7,"['Ġman', 'ings']",1,0.71,791.21,0.89
maniors,N,7,"['Ġman', 'i', 'ors']",2,0.57,725.97,0.95
manissed,N,8,"['Ġman', 'iss', 'ed']",2,0.62,637.78,1.0
manjub,N,6,"['Ġman', 'j', 'ub']",2,0.5,621.52,1.0
manka,N,5,"['Ġman', 'ka']",1,0.6,603.82,0.98
manked,N,6,"['Ġman', 'k', 'ed']",2,0.5,737.82,0.85
manken,N,6,"['Ġman', 'ken']",1,0.67,627.61,0.95
manking,N,7,"['Ġman', 'king']",1,0.71,757.68,0.9
manks,N,5,"['Ġman', 'ks']",1,0.6,719.79,0.85
mannied,N,7,"['Ġman', 'n', 'ied']",2,0.57,771.38,0.82
mannies,N,7,"['Ġman', 'n', 'ies']",2,0.57,690.66,0.84
maño,N,4,"['Ġman', 'Ìĥ', 'o']",2,0.25,677.79,0.95
manroad,N,7,"['Ġman', 'road']",1,0.71,709.09,0.85
mansa,N,5,"['Ġm', 'ans', 'a']",2,0.4,607.26,0.88
mansain,N,7,"['Ġm', 'ans', 'ain']",2,0.57,681.81,1.0
mansal,N,6,"['Ġm', 'ans', 'al']",2,0.5,654.47,0.92
mansals,N,7,"['Ġm', 'ans', 'als']",2,0.57,668.68,0.95
manscal,N,7,"['Ġm', 'ans', 'c', 'al']",3,0.43,604.34,0.95
mansouse,N,8,"['Ġm', 'ans', 'ouse']",2,0.62,630.75,1.0
manspent,N,8,"['Ġm', 'ans', 'p', 'ent']",3,0.5,605.89,0.92
mansplay,N,8,"['Ġm', 'ans', 'play']",2,0.62,661.26,0.85
mansplays,N,9,"['Ġm', 'ans', 'pl', 'ays']",3,0.56,733.0,0.95
manst,N,5,"['Ġman', 'st']",1,0.6,617.29,1.0
mansters,N,8,"['Ġman', 'sters']",1,0.75,716.4,0.92
mansties,N,8,"['Ġman', 'st', 'ies']",2,0.62,663.56,0.98
manstop,N,7,"['Ġman', 'st', 'op']",2,0.57,701.48,0.85
mansty,N,6,"['Ġman', 'st', 'y']",2,0.5,650.53,1.0
mansy,N,5,"['Ġm', 'ans', 'y']",2,0.4,650.84,0.95
mansyr,N,6,"['Ġm', 'ans', 'yr']",2,0.5,543.63,1.0
mansyred,N,8,"['Ġm', 'ans', 'y', 'red']",3,0.5,567.16,1.0
manter,N,6,"['Ġman', 'ter']",1,0.67,695.73,0.8
manters,N,7,"['Ġman', 'ters']",1,0.71,668.7,0.82
manthers,N,8,"['Ġm', 'ant', 'hers']",2,0.62,678.81,0.97
mantics,N,7,"['Ġm', 'ant', 'ics']",2,0.57,759.14,0.79
mantiffs,N,8,"['Ġm', 'ant', 'iff', 's']",3,0.5,692.46,0.97
manting,N,7,"['Ġm', 'ant', 'ing']",2,0.57,687.61,0.92
mantral,N,7,"['Ġm', 'ant', 'ral']",2,0.57,765.21,0.92
mantring,N,8,"['Ġm', 'ant', 'ring']",2,0.62,697.7,0.97
mants,N,5,"['Ġm', 'ants']",1,0.6,599.08,0.97
mantus,N,6,"['Ġm', 'ant', 'us']",2,0.5,655.35,0.87
manulls,N,7,"['Ġman', 'ull', 's']",2,0.57,616.76,1.0
manva,N,5,"['Ġman', 'va']",1,0.6,634.43,0.97
manvil,N,6,"['Ġman', 'vil']",1,0.67,625.49,0.9
manvot,N,6,"['Ġman', 'v', 'ot']",2,0.5,586.11,1.0
manwer,N,6,"['Ġman', 'w', 'er']",2,0.5,622.03,0.95
manwin,N,6,"['Ġman', 'win']",1,0.67,627.21,1.0
maoun,N,5,"['Ġma', 'oun']",1,0.6,539.48,1.0
mapan,N,5,"['Ġmap', 'an']",1,0.6,582.0,1.0
maper,N,5,"['Ġm', 'aper']",1,0.6,586.03,1.0
maph,N,4,"['Ġmap', 'h']",1,0.5,595.63,1.0
maphed,N,6,"['Ġmap', 'hed']",1,0.67,577.28,1.0
mappen,N,6,"['Ġm', 'app', 'en']",2,0.5,660.72,0.92
mappet,N,6,"['Ġm', 'app', 'et']",2,0.5,713.15,0.85
mapplies,N,8,"['Ġm', 'app', 'lies']",2,0.62,691.7,0.92
mapply,N,6,"['Ġm', 'app', 'ly']",2,0.5,669.39,0.95
mapposed,N,8,"['Ġm', 'app', 'osed']",2,0.62,614.78,1.0
mapran,N,6,"['Ġmap', 'ran']",1,0.67,581.56,1.0
mapstream,N,9,"['Ġmap', 'stream']",1,0.78,765.45,0.85
mapt,N,4,"['Ġm', 'apt']",1,0.5,552.58,1.0
maq,N,3,"['Ġma', 'q']",1,0.33,538.01,1.0
marace,N,6,"['Ġmar', 'ace']",1,0.67,628.51,0.98
maracts,N,7,"['Ġmar', 'act', 's']",2,0.57,623.56,1.0
maraps,N,6,"['Ġmar', 'aps']",1,0.67,569.59,1.0
marber,N,6,"['Ġmar', 'ber']",1,0.67,605.31,1.0
marbers,N,7,"['Ġmar', 'bers']",1,0.71,682.42,1.0
marceful,N,8,"['Ġmar', 'ce', 'ful']",2,0.62,633.43,0.95
marchings,N,9,"['Ġmarch', 'ings']",1,0.78,821.67,0.12
marchy,N,6,"['Ġmarch', 'y']",1,0.67,745.53,0.87
mard,N,4,"['Ġm', 'ard']",1,0.5,611.91,0.99
mards,N,5,"['Ġm', 'ards']",1,0.6,605.34,0.97
mared,N,5,"['Ġm', 'ared']",1,0.6,615.47,0.66
mareing,N,7,"['Ġm', 'are', 'ing']",2,0.57,603.55,0.98
marel,N,5,"['Ġm', 'are', 'l']",2,0.4,652.64,0.97
marelled,N,8,"['Ġm', 'are', 'll', 'ed']",3,0.5,637.36,0.95
marels,N,6,"['Ġm', 'are', 'ls']",2,0.5,655.26,0.98
marely,N,6,"['Ġm', 'are', 'ly']",2,0.5,772.81,0.87
maremaid,N,8,"['Ġm', 'are', 'ma', 'id']",3,0.5,776.72,0.82
marenes,N,7,"['Ġm', 'are', 'nes']",2,0.57,648.0,1.0
marens,N,6,"['Ġm', 'are', 'ns']",2,0.5,604.68,1.0
marfboard,N,9,"['Ġmar', 'f', 'board']",2,0.67,587.7,1.0
marfboards,N,10,"['Ġmar', 'f', 'bo', 'ards']",3,0.6,561.21,1.0
marfel,N,6,"['Ġmar', 'f', 'el']",2,0.5,594.88,1.0
marfer,N,6,"['Ġmar', 'fer']",1,0.67,571.08,1.0
marfers,N,7,"['Ġmar', 'f', 'ers']",2,0.57,634.43,0.92
margect,N,7,"['Ġmar', 'ge', 'ct']",2,0.57,598.68,1.0
margers,N,7,"['Ġmarg', 'ers']",1,0.71,713.36,0.9
marges,N,6,"['Ġmar', 'ges']",1,0.67,696.76,0.7
margle,N,6,"['Ġmarg', 'le']",1,0.67,642.61,0.98
margled,N,7,"['Ġmarg', 'led']",1,0.71,676.78,0.95
marglilled,N,10,"['Ġmar', 'gl', 'illed']",2,0.7,654.0,1.0
marhoos,N,7,"['Ġmar', 'ho', 'os']",2,0.57,581.29,0.98
marjumns,N,8,"['Ġmar', 'j', 'umn', 's']",3,0.5,589.36,1.0
marjusc,N,7,"['Ġmar', 'j', 'us', 'c']",3,0.43,579.05,1.0
marman,N,6,"['Ġm', 'arm', 'an']",2,0.5,660.74,0.95
marmins,N,7,"['Ġm', 'arm', 'ins']",2,0.57,674.14,0.95
marms,N,5,"['Ġm', 'arm', 's']",2,0.4,615.97,1.0
marnkey,N,7,"['Ġmar', 'n', 'key']",2,0.57,610.61,1.0
marno,N,5,"['Ġmar', 'no']",1,0.6,591.8,1.0
marored,N,7,"['Ġmar', 'ored']",1,0.71,654.88,1.0
maros,N,5,"['Ġmar', 'os']",1,0.6,632.0,1.0
marps,N,5,"['Ġmar', 'ps']",1,0.6,603.46,1.0
marrat,N,6,"['Ġmar', 'rat']",1,0.67,563.92,0.95
marrats,N,7,"['Ġmar', 'r', 'ats']",2,0.57,688.37,0.92
marray,N,6,"['Ġmar', 'ray']",1,0.67,615.21,1.0
marrays,N,7,"['Ġmar', 'rays']",1,0.71,708.0,0.97
marrelle,N,8,"['Ġmar', 'rel', 'le']",2,0.62,593.55,0.95
marroy,N,6,"['Ġmar', 'roy']",1,0.67,649.35,1.0
marshale,N,8,"['Ġm', 'arsh', 'ale']",2,0.62,644.79,0.88
marsher,N,7,"['Ġm', 'ars', 'her']",2,0.57,738.96,0.65
marshers,N,8,"['Ġm', 'ars', 'hers']",2,0.62,776.42,0.52
marshose,N,8,"['Ġm', 'arsh', 'ose']",2,0.62,590.12,1.0
martacs,N,7,"['Ġmart', 'ac', 's']",2,0.57,610.3,1.0
martaft,N,7,"['Ġmart', 'aft']",1,0.71,610.26,1.0
martage,N,7,"['Ġmart', 'age']",1,0.71,653.22,0.98
martalms,N,8,"['Ġmart', 'al', 'ms']",2,0.62,626.64,1.0
martape,N,7,"['Ġmart', 'ape']",1,0.71,622.84,0.95
martats,N,7,"['Ġmart', 'ats']",1,0.71,620.44,1.0
martbath,N,8,"['Ġmart', 'b', 'ath']",2,0.62,653.84,1.0
martelle,N,8,"['Ġmart', 'el', 'le']",2,0.62,637.77,0.95
martelves,N,9,"['Ġmart', 'el', 'ves']",2,0.67,559.62,1.0
martful,N,7,"['Ġmart', 'ful']",1,0.71,652.95,0.98
martikes,N,8,"['Ġmart', 'ik', 'es']",2,0.62,618.68,0.97
martios,N,7,"['Ġmart', 'ios']",1,0.71,652.03,0.95
martless,N,8,"['Ġmart', 'less']",1,0.75,619.82,1.0
martstring,N,10,"['Ġmart', 'st', 'ring']",2,0.7,675.76,1.0
martstrings,N,11,"['Ġmart', 'str', 'ings']",2,0.73,668.22,1.0
marures,N,7,"['Ġmar', 'ures']",1,0.71,681.75,0.97
marus,N,5,"['Ġmar', 'us']",1,0.6,629.37,1.0
marvans,N,7,"['Ġmar', 'v', 'ans']",2,0.57,660.54,0.97
marve,N,5,"['Ġmar', 've']",1,0.6,643.87,0.8
marwal,N,6,"['Ġmar', 'w', 'al']",2,0.5,653.76,1.0
marwin,N,6,"['Ġmar', 'win']",1,0.67,562.76,0.95
masce,N,5,"['Ġm', 'as', 'ce']",2,0.4,582.55,1.0
masces,N,6,"['Ġm', 'as', 'ces']",2,0.5,694.42,1.0
maseened,N,8,"['Ġm', 'ase', 'ened']",2,0.62,587.22,1.0
maseing,N,7,"['Ġm', 'ase', 'ing']",2,0.57,632.11,0.97
masest,N,6,"['Ġm', 'as', 'est']",2,0.5,621.9,1.0
mashless,N,8,"['Ġm', 'ash', 'less']",2,0.62,806.38,0.75
mashy,N,5,"['Ġm', 'ash', 'y']",2,0.4,829.6,0.42
masic,N,5,"['Ġm', 'as', 'ic']",2,0.4,622.67,0.92
masicked,N,8,"['Ġm', 'as', 'icked']",2,0.62,632.97,1.0
masies,N,6,"['Ġm', 'as', 'ies']",2,0.5,593.05,0.98
masings,N,7,"['Ġm', 'as', 'ings']",2,0.57,716.57,1.0
masky,N,5,"['Ġmask', 'y']",1,0.6,738.71,0.77
masp,N,4,"['Ġm', 'asp']",1,0.5,621.68,1.0
maspat,N,6,"['Ġm', 'asp', 'at']",2,0.5,581.08,1.0
masper,N,6,"['Ġm', 'as', 'per']",2,0.5,600.82,1.0
masping,N,7,"['Ġm', 'as', 'ping']",2,0.57,771.06,0.97
maspits,N,7,"['Ġm', 'asp', 'its']",2,0.57,670.03,1.0
masponed,N,8,"['Ġm', 'asp', 'oned']",2,0.62,626.65,0.97
massace,N,7,"['Ġmass', 'ace']",1,0.71,830.75,0.79
massers,N,7,"['Ġmass', 'ers']",1,0.71,661.38,0.98
massobs,N,7,"['Ġm', 'as', 'so', 'bs']",3,0.43,586.45,1.0
massole,N,7,"['Ġm', 'as', 'so', 'le']",3,0.43,596.24,0.95
massures,N,8,"['Ġmass', 'ures']",1,0.75,722.14,0.72
mastage,N,7,"['Ġmast', 'age']",1,0.71,657.68,0.9
mastalms,N,8,"['Ġmast', 'al', 'ms']",2,0.62,697.45,1.0
mastatz,N,7,"['Ġmast', 'at', 'z']",2,0.57,557.08,1.0
mastboard,N,9,"['Ġmast', 'board']",1,0.78,660.9,0.87
maste,N,5,"['Ġm', 'aste']",1,0.6,621.65,0.98
masteft,N,7,"['Ġm', 'aste', 'ft']",2,0.57,632.92,1.0
mastens,N,7,"['Ġmast', 'ens']",1,0.71,679.33,0.92
masteurs,N,8,"['Ġm', 'aste', 'urs']",2,0.62,765.58,0.8
mastewn,N,7,"['Ġmast', 'ew', 'n']",2,0.57,618.41,1.0
masti,N,5,"['Ġmast', 'i']",1,0.6,581.55,0.98
mastians,N,8,"['Ġmast', 'ians']",1,0.75,790.59,1.0
mastice,N,7,"['Ġmast', 'ice']",1,0.71,687.35,0.88
mastincts,N,9,"['Ġmast', 'inct', 's']",2,0.67,661.92,1.0
masting,N,7,"['Ġmast', 'ing']",1,0.71,804.85,0.42
mastiste,N,8,"['Ġmast', 'ist', 'e']",2,0.62,635.05,0.98
mastly,N,6,"['Ġmast', 'ly']",1,0.67,769.7,0.82
mastored,N,8,"['Ġmast', 'ored']",1,0.75,704.13,0.87
mastues,N,7,"['Ġmast', 'ues']",1,0.71,712.58,0.97
mastur,N,6,"['Ġmast', 'ur']",1,0.67,668.88,1.0
masturs,N,7,"['Ġmast', 'urs']",1,0.71,669.81,1.0
mastuse,N,7,"['Ġmast', 'use']",1,0.71,680.82,1.0
matars,N,6,"['Ġmat', 'ars']",1,0.67,664.48,0.88
matchblind,N,10,"['Ġmatch', 'bl', 'ind']",2,0.7,793.17,0.88
matchblires,N,11,"['Ġmatch', 'bl', 'ires']",2,0.73,690.84,1.0
matchlards,N,10,"['Ġmatch', 'l', 'ards']",2,0.7,670.95,1.0
matchload,N,9,"['Ġmatch', 'load']",1,0.78,765.07,0.71
matchwax,N,8,"['Ġmatch', 'w', 'ax']",2,0.62,734.68,0.85
matens,N,6,"['Ġmat', 'ens']",1,0.67,626.34,0.95
materes,N,7,"['Ġmate', 'res']",1,0.71,654.79,0.98
mathed,N,6,"['Ġmat', 'hed']",1,0.67,753.92,0.68
mathpond,N,8,"['Ġmath', 'p', 'ond']",2,0.62,595.5,1.0
mathrace,N,8,"['Ġmath', 'ra', 'ce']",2,0.62,628.75,1.0
mathstone,N,9,"['Ġmath', 'stone']",1,0.78,699.62,0.84
mathstones,N,10,"['Ġmath', 'st', 'ones']",2,0.7,728.05,0.98
mathy,N,5,"['Ġmath', 'y']",1,0.6,717.47,0.95
mati,N,4,"['Ġmat', 'i']",1,0.5,593.08,0.97
matiln,N,6,"['Ġmat', 'il', 'n']",2,0.5,624.32,1.0
matipsed,N,8,"['Ġmat', 'ips', 'ed']",2,0.62,588.95,1.0
matis,N,5,"['Ġmat', 'is']",1,0.6,637.83,0.95
matocks,N,7,"['Ġmat', 'ocks']",1,0.71,601.95,0.92
matser,N,6,"['Ġmat', 's', 'er']",2,0.5,642.41,0.92
matteds,N,7,"['Ġmat', 'ted', 's']",2,0.57,657.92,1.0
mattells,N,8,"['Ġmat', 't', 'ell', 's']",3,0.5,588.36,1.0
mattent,N,7,"['Ġmat', 't', 'ent']",2,0.57,579.95,1.0
mattersed,N,9,"['Ġmatters', 'ed']",1,0.78,801.38,1.0
mattuct,N,7,"['Ġmat', 't', 'uct']",2,0.57,581.56,0.98
mattudes,N,8,"['Ġmat', 't', 'ud', 'es']",3,0.5,645.47,0.95
maucly,N,6,"['Ġm', 'auc', 'ly']",2,0.5,575.46,0.98
maudly,N,6,"['Ġm', 'aud', 'ly']",2,0.5,652.03,0.88
maulness,N,8,"['Ġm', 'aul', 'ness']",2,0.62,647.39,0.95
maults,N,6,"['Ġm', 'ault', 's']",2,0.5,600.0,0.92
maunt,N,5,"['Ġm', 'aunt']",1,0.6,618.61,0.98
maut,N,4,"['Ġm', 'aut']",1,0.5,590.42,1.0
mav,N,3,"['Ġm', 'av']",1,0.33,541.09,1.0
maved,N,5,"['Ġm', 'av', 'ed']",2,0.4,656.83,0.99
maves,N,5,"['Ġm', 'aves']",1,0.6,611.03,0.95
mavi,N,4,"['Ġm', 'av', 'i']",2,0.25,558.11,1.0
mavide,N,6,"['Ġm', 'av', 'ide']",2,0.5,575.1,1.0
mavs,N,4,"['Ġm', 'av', 's']",2,0.25,596.16,1.0
mavu,N,4,"['Ġm', 'av', 'u']",2,0.25,559.12,1.0
mawd,N,4,"['Ġm', 'aw', 'd']",2,0.25,557.5,0.98
mawks,N,5,"['Ġm', 'aw', 'ks']",2,0.4,576.89,0.95
mawl,N,4,"['Ġm', 'aw', 'l']",2,0.25,609.6,0.76
mawled,N,6,"['Ġm', 'aw', 'led']",2,0.5,606.65,0.45
mawlfeight,N,10,"['Ġm', 'aw', 'l', 'fe', 'ight']",4,0.5,582.51,1.0
mawn,N,4,"['Ġm', 'awn']",1,0.5,678.8,0.87
mawns,N,5,"['Ġm', 'awn', 's']",2,0.4,663.06,0.92
mayed,N,5,"['Ġmay', 'ed']",1,0.6,664.54,0.92
maygets,N,7,"['Ġmay', 'get', 's']",2,0.57,573.02,1.0
maygum,N,6,"['Ġmay', 'g', 'um']",2,0.5,588.31,0.98
maying,N,6,"['Ġmay', 'ing']",1,0.67,659.6,0.92
maytome,N,7,"['Ġmay', 't', 'ome']",2,0.57,550.89,0.97
maytorts,N,8,"['Ġmay', 't', 'orts']",2,0.62,633.05,0.97
meaks,N,5,"['Ġme', 'aks']",1,0.6,661.87,0.8
mealings,N,8,"['Ġmeal', 'ings']",1,0.75,700.69,0.85
mealish,N,7,"['Ġmeal', 'ish']",1,0.71,738.03,0.87
mealstone,N,9,"['Ġmeal', 'stone']",1,0.78,767.11,0.79
mealstress,N,10,"['Ġmeal', 'st', 'ress']",2,0.7,673.45,0.92
meanland,N,8,"['Ġmean', 'land']",1,0.75,696.0,0.8
meanlands,N,9,"['Ġmean', 'lands']",1,0.78,725.53,0.8
meanlists,N,9,"['Ġmean', 'l', 'ists']",2,0.67,779.37,0.75
meanream,N,8,"['Ġmean', 'ream']",1,0.75,689.17,0.98
meanreams,N,9,"['Ġmean', 'ream', 's']",2,0.67,706.52,1.0
meanstocks,N,10,"['Ġmean', 'st', 'ocks']",2,0.7,695.44,0.95
meaps,N,5,"['Ġme', 'aps']",1,0.6,549.71,0.85
mearch,N,6,"['Ġm', 'earch']",1,0.67,553.95,0.98
mearched,N,8,"['Ġm', 'ear', 'ched']",2,0.62,666.14,0.97
mearding,N,8,"['Ġm', 'ear', 'ding']",2,0.62,662.26,1.0
mearthers,N,9,"['Ġme', 'art', 'hers']",2,0.67,620.89,1.0
mearthes,N,8,"['Ġme', 'art', 'hes']",2,0.62,650.19,0.98
mearthing,N,9,"['Ġm', 'ear', 'thing']",2,0.67,683.3,1.0
meaving,N,7,"['Ġme', 'aving']",1,0.71,657.78,0.92
meavings,N,8,"['Ġme', 'av', 'ings']",2,0.62,666.33,1.0
mebens,N,6,"['Ġme', 'b', 'ens']",2,0.5,526.82,0.98
mebi,N,4,"['Ġme', 'bi']",1,0.5,618.58,1.0
mebla,N,5,"['Ġme', 'bl', 'a']",2,0.4,550.28,0.98
meblas,N,6,"['Ġme', 'bl', 'as']",2,0.5,534.62,1.0
mebueathed,N,10,"['Ġme', 'b', 'ue', 'at', 'hed']",4,0.5,561.3,1.0
mecker,N,6,"['Ġm', 'eck', 'er']",2,0.5,595.84,0.98
meckers,N,7,"['Ġm', 'eck', 'ers']",2,0.57,641.91,0.95
mecking,N,7,"['Ġm', 'eck', 'ing']",2,0.57,639.0,1.0
mecks,N,5,"['Ġm', 'ec', 'ks']",2,0.4,630.65,0.98
mecored,N,7,"['Ġm', 'ec', 'ored']",2,0.57,562.32,1.0
mecrounce,N,9,"['Ġm', 'ec', 'rou', 'nce']",3,0.56,611.12,1.0
medans,N,6,"['Ġmed', 'ans']",1,0.67,635.81,0.97
medens,N,6,"['Ġmed', 'ens']",1,0.67,614.73,1.0
medged,N,6,"['Ġmed', 'ged']",1,0.67,695.97,0.95
medwee,N,6,"['Ġmed', 'we', 'e']",2,0.5,586.16,1.0
meedless,N,8,"['Ġme', 'ed', 'less']",2,0.62,723.08,0.95
meedlit,N,7,"['Ġme', 'ed', 'l', 'it']",3,0.43,627.22,1.0
meedy,N,5,"['Ġme', 'edy']",1,0.6,667.57,0.97
meekage,N,7,"['Ġme', 'ek', 'age']",2,0.57,662.76,0.88
meel,N,4,"['Ġme', 'el']",1,0.5,640.64,0.99
meem,N,4,"['Ġme', 'em']",1,0.5,593.18,1.0
meens,N,5,"['Ġme', 'ens']",1,0.6,617.76,0.95
meeps,N,5,"['Ġme', 'eps']",1,0.6,658.62,0.92
meesaps,N,7,"['Ġme', 'es', 'aps']",2,0.57,580.72,1.0
meesces,N,7,"['Ġme', 'es', 'ces']",2,0.57,668.26,1.0
meeshy,N,6,"['Ġme', 'es', 'hy']",2,0.5,630.19,1.0
meestrus,N,8,"['Ġme', 'est', 'rus']",2,0.62,605.95,1.0
meetbed,N,7,"['Ġmeet', 'bed']",1,0.71,654.24,1.0
meetless,N,8,"['Ġmeet', 'less']",1,0.75,670.92,1.0
meetling,N,8,"['Ġmeet', 'ling']",1,0.75,714.03,0.92
meetlings,N,9,"['Ġmeet', 'lings']",1,0.78,714.68,0.92
meetor,N,6,"['Ġmeet', 'or']",1,0.67,670.72,0.97
meetre,N,6,"['Ġmeet', 're']",1,0.67,607.56,1.0
meety,N,5,"['Ġmeet', 'y']",1,0.6,700.56,0.88
meeve,N,5,"['Ġme', 'e', 've']",2,0.4,606.45,1.0
meff,N,4,"['Ġme', 'ff']",1,0.5,537.95,0.99
meft,N,4,"['Ġme', 'ft']",1,0.5,564.89,1.0
meians,N,6,"['Ġme', 'ians']",1,0.67,583.62,1.0
mekg,N,4,"['Ġme', 'k', 'g']",2,0.25,567.87,1.0
mekko,N,5,"['Ġme', 'k', 'ko']",2,0.4,563.26,0.98
melder,N,6,"['Ġmel', 'der']",1,0.67,653.79,0.84
meleres,N,7,"['Ġme', 'le', 'res']",2,0.57,604.65,1.0
mellaged,N,8,"['Ġm', 'ell', 'aged']",2,0.62,605.28,0.98
mellay,N,6,"['Ġm', 'ell', 'ay']",2,0.5,556.09,0.89
mellays,N,7,"['Ġm', 'ell', 'ays']",2,0.57,564.11,0.97
melliors,N,8,"['Ġm', 'ell', 'i', 'ors']",3,0.5,650.28,0.92
mellit,N,6,"['Ġm', 'ell', 'it']",2,0.5,575.87,1.0
melope,N,6,"['Ġmel', 'ope']",1,0.67,644.28,0.98
melouns,N,7,"['Ġmel', 'oun', 's']",2,0.57,599.52,1.0
meltaid,N,7,"['Ġmelt', 'aid']",1,0.71,650.11,0.97
meltaids,N,8,"['Ġmelt', 'a', 'ids']",2,0.62,610.23,1.0
meltar,N,6,"['Ġmelt', 'ar']",1,0.67,729.65,0.97
mem,N,3,['Ġmem'],0,0.67,617.61,0.95
memble,N,6,"['Ġmem', 'ble']",1,0.67,680.21,0.97
membled,N,7,"['Ġmem', 'bled']",1,0.71,755.12,0.89
membrede,N,8,"['Ġmem', 'b', 'red', 'e']",3,0.5,694.53,1.0
membrerds,N,9,"['Ġmem', 'bre', 'rd', 's']",3,0.56,649.32,1.0
memdic,N,6,"['Ġmem', 'd', 'ic']",2,0.5,605.35,1.0
memis,N,5,"['Ġmem', 'is']",1,0.6,603.51,0.98
memps,N,5,"['Ġmem', 'ps']",1,0.6,570.68,1.0
mempted,N,7,"['Ġmem', 'pted']",1,0.71,644.1,0.98
memso,N,5,"['Ġmem', 'so']",1,0.6,610.6,1.0
memsos,N,6,"['Ġmem', 's', 'os']",2,0.5,636.47,0.98
menacks,N,7,"['Ġmen', 'acks']",1,0.71,580.1,1.0
menced,N,6,"['Ġmen', 'ced']",1,0.67,779.0,0.87
mench,N,5,"['Ġmen', 'ch']",1,0.6,673.82,0.98
menches,N,7,"['Ġm', 'enc', 'hes']",2,0.57,716.68,0.98
mendeoned,N,9,"['Ġm', 'end', 'e', 'oned']",3,0.56,673.87,1.0
mendy,N,5,"['Ġm', 'end', 'y']",2,0.4,794.83,0.82
menfelf,N,7,"['Ġmen', 'f', 'elf']",2,0.57,586.43,1.0
menians,N,7,"['Ġmen', 'ians']",1,0.71,648.81,0.92
mens,N,4,"['Ġm', 'ens']",1,0.5,545.57,0.18
mensed,N,6,"['Ġm', 'ens', 'ed']",2,0.5,661.94,0.95
mensmil,N,7,"['Ġm', 'ens', 'm', 'il']",3,0.43,626.55,1.0
mensties,N,8,"['Ġmen', 'st', 'ies']",2,0.62,718.79,1.0
mensty,N,6,"['Ġmen', 'st', 'y']",2,0.5,607.72,1.0
menta,N,5,"['Ġment', 'a']",1,0.6,644.78,0.9
mentaves,N,8,"['Ġment', 'aves']",1,0.75,628.95,1.0
mentawn,N,7,"['Ġment', 'awn']",1,0.71,630.45,1.0
mentette,N,8,"['Ġment', 'ette']",1,0.75,634.24,0.97
mepan,N,5,"['Ġm', 'ep', 'an']",2,0.4,609.92,1.0
mepes,N,5,"['Ġm', 'ep', 'es']",2,0.4,567.17,0.97
merbal,N,6,"['Ġmer', 'bal']",1,0.67,612.92,1.0
merds,N,5,"['Ġmer', 'ds']",1,0.6,611.54,1.0
merengths,N,9,"['Ġmere', 'ng', 'ths']",2,0.67,630.71,1.0
meresque,N,8,"['Ġmere', 's', 'que']",2,0.62,660.38,1.0
mern,N,4,"['Ġm', 'ern']",1,0.5,626.21,1.0
merns,N,5,"['Ġm', 'ern', 's']",2,0.4,562.08,1.0
mert,N,4,"['Ġm', 'ert']",1,0.5,612.5,1.0
mertic,N,6,"['Ġm', 'ert', 'ic']",2,0.5,637.5,0.95
merve,N,5,"['Ġm', 'erve']",1,0.6,618.08,0.9
mesbies,N,7,"['Ġmes', 'b', 'ies']",2,0.57,560.63,1.0
mesen,N,5,"['Ġmes', 'en']",1,0.6,634.33,0.97
mesfers,N,7,"['Ġmes', 'f', 'ers']",2,0.57,567.33,1.0
mesgy,N,5,"['Ġmes', 'gy']",1,0.6,560.19,1.0
meshase,N,7,"['Ġm', 'esh', 'ase']",2,0.57,570.05,1.0
meshet,N,6,"['Ġmes', 'het']",1,0.67,546.9,0.98
